Name,State,Latitude,Longitude,Status,Commodity Group
Nifty,WA,-21.654853,121.570871,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Nolans ,NT,-22.59385,133.238557,Developing Mine,Rare earth elements 
Norseman,WA,-32.1964,121.7941,Operating mine,"Precious metals - Au, Ag, PGE"
North Goonyella,QLD,-21.64755,147.976615,Care and maintenance,Coal
Northcote,QLD,-17.0058,145.1571,Developing mine,"Precious metals - Au, Ag, PGE"
Northern Operations,WA,-31.16898,121.6514,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Northparkes,NSW,-32.9135,148.0498,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Nova-Bollinger,WA,-31.819886,123.192413,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Nullagine,WA,-22.0928,119.8358,Care and maintenance,Iron ore
Nullagine,WA,-21.8784,120.2916,Operating mine,"Precious metals - Au, Ag, PGE"
Nyngan,NSW,-31.612,146.994,Developing mine,Rare earth elements 
Oaky Creek,QLD,-23.041584,148.49321,Operating mine,Coal
Odysseus,WA,-27.600285,120.576324,Developing mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Olive Downs,QLD,-22.2091,148.369,Developing mine,Coal
Olympic Dam,SA,-30.437444,136.889293,Operating mine,"Base metals - Cu, Au, U, Ag"
Orion Downs,QLD,-24.425,148.361,Operating mine,Coal
Osborne,QLD,-22.0939,140.5736,Care and Maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Paddy's Flat,WA,-26.6181,118.5022,Operating mine,"Precious metals - Au, Ag, PGE"
Pajingo,QLD,-20.548,146.4634,Operating mine,"Precious metals - Au, Ag, PGE"
Panton,WA,-17.75153,127.831596,Developing mine,"Precious metals - Au, Ag, PGE"
Paraburdoo,WA,-23.2292,117.579,Operating mine,Iron ore
Paroo Station,WA,-26.517944,119.941926,Care and maintenance,"Base metals - Zn, Pb (Cu, Ag)"
Paulsens,WA,-22.5794,116.2426,Care and maintenance,"Precious metals - Au, Ag, PGE"
Peak,NSW,-31.5653,145.8778,Operating mine,"Precious metals - Au, Ag, PGE"
Peak Downs,QLD,-22.219914,148.173066,Operating mine,Coal
Peculiar Knob,SA,-29.586813,135.382648,Operating mine,Iron ore
Penny,WA,-28.852443,118.80643,Operating mine,"Precious metals - Au, Ag, PGE"
Penny's Find,WA,-30.53256,121.8745,Care and maintenance,"Precious metals - Au, Ag, PGE"
Pilgangoora,WA,-21.0723,118.8953,Operating mine,Lithium
Pine Dale,NSW,-33.297,150.065,Care and maintenance,Coal
Pinnacles,NSW,-32.052,141.329,Operating mine,"Base metals - Zn, Pb (Cu, Ag)"
Plutonic,WA,-25.3171,119.4437,Operating mine,"Precious metals - Au, Ag, PGE"
Poitrel,QLD,-22.041216,148.234381,Operating mine,Coal
Portia,SA,-31.433894,140.451072,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Premier,WA,-33.391728,116.286509,Operating mine,Coal
Prominent Hill,SA,-29.72004,135.5749,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Queens ,WA,-22.128667,117.769485,Operating mine,Iron ore
Radio Hill,WA,-20.982542,116.864841,Care and maintenance,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Rasp Mine,NSW,-31.965517,141.451273,Operating mine,"Base metals - Zn, Pb (Cu, Ag)"
Ravensthorpe,WA,-33.64212,120.396308,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Ravenswood,QLD,-20.096942,146.879978,Operating mine,"Precious metals - Au, Ag, PGE"
Ravensworth East,NSW,-32.3955,151.0717,Operating mine,Coal
Ravensworth North,NSW,-32.44,150.997,Operating mine,Coal
Ravensworth Underground,NSW,-32.436562,151.037482,Care and maintenance,Coal
Red October,WA,-29.2166,122.4141,Care and Maintenance,"Precious metals - Au, Ag, PGE"
Redbank,NT,-17.193231,137.743503,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Renison Bell,TAS,-41.7824,145.434,Operating mine,"Other metals - Sn, W, Ta, Ti"
Ridges,WA,-16.599104,128.273183,Care and maintenance,Iron ore
Ridgeway,NSW,-33.4353,148.9759,Care and maintenance,"Precious metals - Au, Ag, PGE"
Riley Creek,TAS,-41.74475,145.4114,Care and maintenance,Iron ore
Riverina,WA,-29.7519,120.5652,Operating mine,"Precious metals - Au, Ag, PGE"
Rixs Creek,NSW,-32.52684,151.129982,Operating mine,Coal
Robe River,WA,-21.747484,116.242201,Operating mine,Iron ore
Rocklands,QLD,-20.67809,140.363019,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Rolleston,QLD,-24.444059,148.410596,Operating mine,Coal
Roper Bar,NT,-15.223,135.074,Care and maintenance,Iron ore
Rosebery,TAS,-41.7723,145.5431,Operating mine,"Base metals - Zn, Pb (Cu, Ag)"
Rosemont,WA,-27.8397,122.2753,Operating mine,"Precious metals - Au, Ag, PGE"
Rothsay,WA,-29.2821,116.8659,Operating mine,"Precious metals - Au, Ag, PGE"
Roy Hill,WA,-22.562194,120.057771,Operating mine,Iron ore
Russell Vale,NSW,-34.346849,150.869989,Operating mine,Coal
Saint Elmo,QLD,-20.555,141.875,Developing mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Sanjiv Ridge,WA,-21.473998,119.664944,Operating mine,Iron ore
Santa,WA,-31.0456,122.2028,Operating mine,"Precious metals - Au, Ag, PGE"
Saraji,QLD,-22.369379,148.291051,Operating mine,Coal
Savage River,TAS,-41.487982,145.204429,Operating mine,Iron ore
Savannah,WA,-17.347206,128.023493,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Sconi,QLD,-19.026873,144.954374,Developing mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Shine,WA,-28.8484,116.9358,Care and maintenance,Iron ore
Siberia,WA,-30.2111,120.9624,Operating mine,"Precious metals - Au, Ag, PGE"
Sill 80,NT,-14.93715489,134.035746,Operating mine,"Heavy mineral sands - Ti, Zr"
Silvergrass,WA,-22.183297,117.18516,Operating mine,Iron ore
Sino Iron,WA,-21.079589,116.147352,Operating mine,Iron ore
Siviour,SA,-33.918009,136.428284,Developing mine,Graphite
Sonoma,QLD,-20.62,147.86,Operating mine,Coal
South Emu-Triton,WA,-27.138,118.2669,Operating mine,"Precious metals - Au, Ag, PGE"
South Kalgoorlie,WA,-31.0385,121.6148,Operating mine,"Precious metals - Au, Ag, PGE"
South Walker Creek,QLD,-21.770942,148.442713,Operating mine,Coal
South West,WA,-30.7986,115.5673,Operating mine,"Heavy mineral sands - Ti, Zr"
Spargos Reward,WA,-31.2362,121.4687,Operating mine,"Precious metals - Au, Ag, PGE"
Spotted Quoll,WA,-32.47818,119.677803,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Springvale,NSW,-33.4006,150.105627,Operating mine,Coal
St Ives,WA,-31.2951,121.6761,Operating mine,"Precious metals - Au, Ag, PGE"
Stawell,VIC,-37.0589,142.8002,Care and maintenance,"Precious metals - Au, Ag, PGE"
Stratford Duralie,NSW,-32.11766,151.973597,Operating mine,Coal
Sunrise,NSW,-32.756687,147.419586,Developing Mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Sunrise Dam,WA,-29.0775,122.4245,Operating mine,"Precious metals - Au, Ag, PGE"
Tahmoor,NSW,-34.2508,150.5795,Operating mine,Coal
Tampia,WA,-32.1624,118.4517,Operating mine,"Precious metals - Au, Ag, PGE"
Tanami ,NT,-20.5256,129.9336,Operating mine,"Precious metals - Au, Ag, PGE"
Tank - Atreides,WA,-31.063,122.5802,Operating mine,"Precious metals - Au, Ag, PGE"
Tarcoola,SA,-30.697135,134.529982,Care and maintenance,"Precious metals - Au, Ag, PGE"
Tarong,QLD,-26.813543,151.911523,Operating mine,Coal
Tarrawonga,NSW,-30.638,150.163,Operating mine,Coal
Telfer,WA,-21.7224,122.2109,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Thalanga,QLD,-20.3419,145.7699,Operating mine,"Base metals - Zn, Pb (Cu, Ag)"
Thuddungra,NSW,-34.173315,148.049644,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Thunderbird,WA,-17.431715,122.967879,Developing mine,"Heavy mineral sands - Ti, Zr"
Thunderbox,WA,-28.192,121.0054,Operating mine,"Precious metals - Au, Ag, PGE"
Tomingley,NSW,-32.5848,148.2067,Operating mine,"Precious metals - Au, Ag, PGE"
Tooheys Well,WA,-27.939959,122.368122,Operating mine,"Precious metals - Au, Ag, PGE"
Tritton,NSW,-31.3956,146.7216,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Tropicana,WA,-29.26,124.55,Operating mine,"Precious metals - Au, Ag, PGE"
Ulan,NSW,-32.246863,149.749983,Operating mine,Coal
Uley,SA,-34.799274,135.703459,Developing mine,Graphite
United Wambo,NSW,-32.558422,151.008851,Operating mine,Coal
Urquhart ,QLD,-12.75,141.8,Operating mine,"Heavy mineral sands - Ti, Zr"
Venus,WA,-27.815,120.704,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Vivien,WA,-27.9751,120.5695,Operating mine,"Precious metals - Au, Ag, PGE"
Vulcan,QLD,-22.287,148.188,Operating mine,Coal
Wallaby,WA,-28.8518,122.3055,Operating mine,"Precious metals - Au, Ag, PGE"
Warkworth,NSW,-32.60701,151.090164,Operating mine,Coal
Warrawoona,WA,-21.33548,119.892303,Operating mine,"Precious metals - Au, Ag, PGE"
Waterloo,WA,-28.14377,120.977997,Care and maintenance,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Weipa,QLD,-12.6637,141.8732,Operating mine,Bauxite
Werris Creek,NSW,-31.40698,150.6395,Operating mine,Coal
West Angelas,WA,-23.18855,118.78829,Operating mine,Iron ore
Western Range,WA,-23.225,117.561,Developing Mine,Iron ore
Western Turner Syncline,WA,-22.66221,117.586304,Operating mine,Iron ore
Westralia,WA,-28.7696,122.0679,Operating mine,"Precious metals - Au, Ag, PGE"
Whim Creek,WA,-20.84373,117.830583,Care and maintenance,"Base metals - Zn, Pb (Cu, Ag)"
White Dam,SA,-32.0955,140.5793,Operating mine,"Precious metals - Au, Ag, PGE"
White Foil,WA,-30.7738,121.2506,Operating mine,"Precious metals - Au, Ag, PGE"
Widgiemooltha,WA,-31.494669,121.564082,Care and maintenance,"Precious metals - Au, Ag, PGE"
Willowdale,WA,-32.845099,116.061824,Operating mine,Bauxite
Wilpinjong,NSW,-32.332,149.885,Operating mine,Coal
Wiluna West,WA,-26.68036,119.9373,Operating mine,Iron ore
Windimurra,WA,-28.2993,118.5352,Care and maintenance,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Wingellina,WA,-26.03964,128.939301,Developing mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Wodgina,WA,-21.174613,118.676381,Operating mine,Lithium
Wolfram Camp,QLD,-17.084464,144.969389,Care and maintenance,"Other metals - Sn, W, Ta, Ti"
Wonawinta,NSW,-32.2181,145.7322,Developing mine,"Precious metals - Au, Ag, PGE"
Wongawilli,NSW,-34.474921,150.735664,Care and maintenance,Coal
Wonmunna,WA,-23.12290261,119.0497302,Operating mine,Iron ore
Wonnerup,WA,-33.653782,115.4506,Operating mine,"Heavy mineral sands - Ti, Zr"
Woodie Woodie,WA,-21.638771,121.235468,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Woodlawn,NSW,-35.061317,149.571681,Care and maintenance,"Base metals - Zn, Pb (Cu, Ag)"
Worsley,WA,-32.929208,116.455911,Operating mine,Bauxite
Yakabindie,WA,-27.4555,120.5775,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Yallourn,VIC,-38.195064,146.360402,Operating mine,Coal
Yalyalup,WA,-33.689709,115.472298,Developing mine,"Heavy mineral sands - Ti, Zr"
Yandi,WA,-22.734839,119.103329,Operating mine,Iron ore
Yandicoogina,WA,-22.762345,119.211129,Operating mine,Iron ore
Yangibana,WA,-23.891614,116.195835,Developing mine,Rare earth elements 
Yarrabee,QLD,-23.317678,149.026371,Operating mine,Coal
Yendon,VIC,-37.6572,143.98,Care and maintenance,"High-purity elements - Al, Si"
