Name,State,Latitude,Longitude,Status,Commodity Group
Carosue Dam,WA,-30.12,122.35,Operating mine,"Precious metals - Au, Ag, PGE"
Carrapateena,SA,-31.2175,137.4984,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Cassini ,WA,-31.700939,121.621101,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Cataby,WA,-30.7351,115.5387,Operating mine,"Heavy mineral sands - Ti, Zr"
Caval Ridge,QLD,-22.221466,148.17199,Operating mine,Coal
Cawse,WA,-30.368888,121.148544,Care and maintenance,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Central Eyre,SA,-33.2438,135.6677,Developing Mine,Iron ore
Century,QLD,-18.738057,138.625021,Operating mine,"Base metals - Zn, Pb (Cu, Ag)"
Chain Valley,NSW,-33.163056,151.550004,Operating mine,Coal
Challenger,SA,-29.8782,133.5889,Care and maintenance,"Precious metals - Au, Ag, PGE"
Channar,WA,-23.29938,117.788592,Operating mine,Iron ore
Charters Towers,QLD,-20.0757,146.2666,Operating mine,"Precious metals - Au, Ag, PGE"
Christmas Creek,WA,-22.376169,119.758987,Operating mine,Iron ore
Clarence,NSW,-33.456479,150.24393,Operating mine,Coal
Clermont,QLD,-22.689216,147.630768,Operating mine,Coal
Cliffs,WA,-27.310489,120.552825,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Cloudbreak,WA,-22.302778,119.396385,Operating mine,Iron ore
Cobar,NSW,-31.40802,145.798597,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Coburn,WA,-26.70377,114.126953,Operating mine,"Heavy mineral sands - Ti, Zr"
Cockatoo Island,WA,-16.094966,123.607113,Care and maintenance,Iron ore
Cock-eyed Bob,WA,-31.0895,122.1761,Operating mine,"Precious metals - Au, Ag, PGE"
Collinsville,QLD,-20.567608,147.768557,Operating mine,Coal
Comet Vale,WA,-29.954928,121.131043,Care and maintenance,"Precious metals - Au, Ag, PGE"
Commodore,QLD,-27.930269,151.279051,Operating mine,Coal
Coobina,WA,-23.504898,120.277372,Care and maintenance,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Cook,QLD,-23.709213,148.914684,Operating mine,Coal
Cooljarloo,WA,-30.593306,115.360681,Operating mine,"Heavy mineral sands - Ti, Zr"
Coppabella,QLD,-21.844554,148.427187,Operating mine,Coal
Corinna,TAS,-41.6224,145.112,Operating mine,"High-purity elements - Al, Si"
Corinthia,WA,-31.1245,119.2214,Care and Maintenance,"Precious metals - Au, Ag, PGE"
Cornwall,TAS,-41.55,148.133333,Operating mine,Coal
Costerfield,VIC,-36.8957,144.8015,Operating mine,"Precious metals - Au, Ag, PGE"
Cowal,NSW,-33.6369,147.4067,Operating mine,"Precious metals - Au, Ag, PGE"
Coyote,WA,-19.8989,128.8319,Care and maintenance,"Precious metals - Au, Ag, PGE"
Cracow,QLD,-25.28928,150.2703,Operating mine,"Precious metals - Au, Ag, PGE"
Creswick,VIC,-37.3204,143.8943,Operating mine,"High-purity elements - Al, Si"
Cullen Valley,NSW,-33.269288,150.016163,Operating mine,Coal
Cumnock,NSW,-32.403044,150.998616,Care and maintenance,Coal
Curragh,QLD,-23.466218,148.854144,Operating mine,Coal
Cutters Ridge,WA,-30.7675,121.1811,Operating mine,"Precious metals - Au, Ag, PGE"
Cyclone,WA,-28.817064,128.732174,Developing mine,"Heavy mineral sands - Ti, Zr"
